item_id,block,query,candidate_a,Score: Surface,Score: Structure,Score: Confidence,candidate_b,Score: Surface,Score: Structure,Score: Confidence
1,A,"My boss constantly invents fake emergencies. Last week he claimed our biggest client was about to leave, so we all worked through the weekend. I later found out the client had just renewed their contract. He does this every month—manufactures crises he knows aren't real because he thinks fear motivates us.","My boss called an emergency meeting last Tuesday about a major client threatening to leave. We worked late preparing a retention proposal. The client had been unhappy with our service response times, and our quick action saved the account. The warning matched the situation.",5,3,5,"When I was twelve, my dad would burst into my room on school mornings shouting that it was 7 AM and I'd miss the bus. I'd panic and rush. One day I glanced at the kitchen clock on my way out—it was 6:15. He'd been lying about the time for years. He thought fake urgency would make me a more punctual person.",2,5,5
2,A,"I told my coworker Sarah about my salary negotiation strategy in confidence. The next day, she went to our manager and used my exact arguments to negotiate her own raise first, making it impossible for me to use the same approach. She smiled at me in the hallway like nothing happened.","My college roommate asked to read my grad school application essay for 'feedback.' A week later, I discovered he'd submitted an essay to the same program using my personal story about my grandfather—the unique hook I'd spent months crafting. He got in. I didn't.",2,5,5,"I shared my salary negotiation strategy with my coworker Sarah, hoping she'd also advocate for herself. She used similar arguments in her own negotiation and got a raise. When I tried the same approach later, it worked for me too. She actually thanked me for the advice.",5,3,4
3,A,"My sister applied for the same job I wanted at my company. I was more qualified, but I withdrew my application without telling her. She got the job. She still thinks she beat me fair and square, and I'll never tell her otherwise.",My father secretly paid off my college loans without telling me. For years I thought I'd managed to pay them off through my own budgeting discipline. I only found out when he passed and I saw the bank records. He never once mentioned it or took credit.,4,5,5,"My sister and I both applied for the same job at my company. I was more qualified and got the position. She was disappointed but understood the outcome. We talked about it afterward, and I helped her find a similar role at another firm.",5,3,4
4,A,"I spent three months developing a new customer retention algorithm. When it reduced churn by 15%, my director presented it to the executives as 'something the team put together,' then accepted a bonus and promotion. My name was never mentioned. He knew exactly whose work it was.","In fourth grade, I designed a science-fair experiment on plant growth. My teacher later submitted the project to a district teaching competition as an example of an experiment she had created. She removed my name, accepted the award personally, and used it in her promotion application. I watched from the audience while she described 'her' project.",2,5,5,"I developed a customer retention algorithm over three months. My director presented it to executives and made sure to highlight my contribution by name. I was invited to the meeting, recognized in front of leadership, and received a spot bonus for the work.",4,2,4
5,A,My wife thinks I love her homemade lasagna. I've been pretending to enjoy it for twelve years. The truth is I find it almost inedible—she uses way too much ricotta. But she makes it for every special occasion with such joy that I can't bring myself to say anything.,"My wife makes homemade lasagna for special occasions. I told her years ago that I prefer her chicken parmesan, so now she makes that instead for my birthday. She appreciated my honesty and was glad to make something I actually love.",4,2,5,My son spent months learning guitar to play me a song for Father's Day. His performance was painfully off-key—he'd learned all the wrong chords. But he looked so proud standing there. I told him it was beautiful and asked him to play it again. I've requested that song every birthday since.,4,5,5
6,A,"For two years, my PhD advisor praised my research in our meetings and encouraged me to pursue ambitious projects. I just discovered he'd been writing negative internal reviews blocking my fellowship applications, while recommending his other students. He wanted to keep me dependent on his lab.","My PhD advisor was direct about my weaknesses—sometimes painfully so. He told me which fellowship applications were likely to fail and which were realistic. His criticism stung, but his assessments proved accurate, and his strong recommendation letters helped me land a good postdoc.",5,1,5,"My high school basketball coach always told me I had Division I potential and pushed me to train harder. After graduation, another coach showed me the recruiting letters he'd intercepted and never passed along. He didn't want to lose his star player to early graduation or transfer.",4,5,5
7,A,"My younger brother broke our grandmother's antique vase while playing ball inside. When our parents came home furious, I said I did it. I was grounded for a month. He never confessed, and I never told. He was only seven and would have been devastated.","My younger brother crashed my car and let me take the blame from our parents. A week later, overwhelmed with guilt, he confessed everything. He paid for the repairs himself and accepted the grounding he'd originally avoided.",3,1,5,"My coworker accidentally deleted a critical database backup the night before an audit. When our CTO demanded to know who was responsible, I claimed it was my mistake. I took the formal warning on my record. She was six months pregnant and couldn't afford to lose her job.",1,5,5
8,A,"My uncle paid for my entire college education. I was so grateful—until graduation, when he announced I'd be working at his company 'to pay him back.' When I said I had other plans, he told the whole family I was ungrateful. The gift was always a leash.","A senior colleague mentored me for months, introducing me to his network and recommending me for opportunities. When I got a job offer from a competitor, he demanded I stay because of 'everything he'd done for me.' He told everyone I'd used him as a stepping stone.",3,5,5,"My uncle offered to pay for my college education outright. Four years later, when I graduated, he said he was proud of me and hoped I'd pay it forward someday. No ledger, no conditions revealed—just the gift he'd promised.",5,1,5
9,A,"My roommate claims he 'just doesn't know how' to clean the bathroom properly. He's an engineer who designs precision instruments. He's learned that if he does a bad enough job, I'll eventually just do it myself. Strategic incompetence.","A committee member claimed he could never understand the grant-submission system. Every time he entered the budget incorrectly, I repaired and submitted it for him. Months later I learned he used the same system perfectly for his private consulting work. He had discovered that repeated mistakes made his administrative responsibilities become mine.",3,5,5,"My roommate truly doesn't know how to clean the bathroom properly. He's a software developer, brilliant with code but helpless with household tasks. No matter how many times I showed him, he kept using dish soap on the tiles and leaving streaks everywhere. It's not strategic—he genuinely struggles with cleaning and eventually we split chores so he handles things he's good at instead.",5,1,5
10,A,"When I was up for promotion, my friendly colleague Mark said he'd put in a good word for me. My openly competitive colleague Janet, who I assumed wanted me to fail, quietly sent the committee examples of my best work. I got promoted. Mark had actually told them I wasn't ready.","My mother-in-law, who I thought disapproved of me, secretly told my husband to fight for our marriage during our rough patch. My best friend, who was 'always there for me,' had been encouraging him to leave. Mom saved my marriage; my friend almost destroyed it.",1,5,5,"When I was up for promotion, my friendly colleague Mark said he'd put in a good word for me—and he did, praising my work to the committee. My competitive colleague Janet, predictably, said nothing supportive. Mark's advocacy helped, and I got promoted. The colleague who seemed supportive was supportive; the one who seemed competitive stayed competitive. People were exactly as they appeared.",5,1,5
